27
ALA 0 0
ARG 5 729
N CA CB CG
CA CB CG CD
CB CG CD NE
CG CD NE CZ
CD NE CZ NH1
45.4 69.7 62.4 82.3 180.0
45.4 79.7 62.4 82.3 180.0
45.4 89.7 62.4 82.3 180.0
55.4 69.7 62.4 82.3 180.0
55.4 79.7 62.4 82.3 180.0
55.4 89.7 62.4 82.3 180.0
65.4 69.7 62.4 82.3 180.0
65.4 79.7 62.4 82.3 180.0
65.4 89.7 62.4 82.3 180.0
49.2 75.4 68.2 -166.2 180.0
49.2 85.4 68.2 -166.2 180.0
49.2 95.4 68.2 -166.2 180.0
59.2 75.4 68.2 -166.2 180.0
59.2 85.4 68.2 -166.2 180.0
59.2 95.4 68.2 -166.2 180.0
69.2 75.4 68.2 -166.2 180.0
69.2 85.4 68.2 -166.2 180.0
69.2 95.4 68.2 -166.2 180.0
44.5 69.4 64.6 -103.2 180.0
44.5 79.4 64.6 -103.2 180.0
44.5 89.4 64.6 -103.2 180.0
54.5 69.4 64.6 -103.2 180.0
54.5 79.4 64.6 -103.2 180.0
54.5 89.4 64.6 -103.2 180.0
64.5 69.4 64.6 -103.2 180.0
64.5 79.4 64.6 -103.2 180.0
64.5 89.4 64.6 -103.2 180.0
44.5 76.6 178.2 85.5 180.0
44.5 86.6 178.2 85.5 180.0
44.5 96.6 178.2 85.5 180.0
54.5 76.6 178.2 85.5 180.0
54.5 86.6 178.2 85.5 180.0
54.5 96.6 178.2 85.5 180.0
64.5 76.6 178.2 85.5 180.0
64.5 86.6 178.2 85.5 180.0
64.5 96.6 178.2 85.5 180.0
43.9 77.8 -178.5 178.1 180.0
43.9 87.8 -178.5 178.1 180.0
43.9 97.8 -178.5 178.1 180.0
53.9 77.8 -178.5 178.1 180.0
53.9 87.8 -178.5 178.1 180.0
53.9 97.8 -178.5 178.1 180.0
63.9 77.8 -178.5 178.1 180.0
63.9 87.8 -178.5 178.1 180.0
63.9 97.8 -178.5 178.1 180.0
43.5 77.8 -176.0 -81.1 180.0
43.5 87.8 -176.0 -81.1 180.0
43.5 97.8 -176.0 -81.1 180.0
53.5 77.8 -176.0 -81.1 180.0
53.5 87.8 -176.0 -81.1 180.0
53.5 97.8 -176.0 -81.1 180.0
63.5 77.8 -176.0 -81.1 180.0
63.5 87.8 -176.0 -81.1 180.0
63.5 97.8 -176.0 -81.1 180.0
44.5 73.5 -78.4 102.9 180.0
44.5 83.5 -78.4 102.9 180.0
44.5 93.5 -78.4 102.9 180.0
54.5 73.5 -78.4 102.9 180.0
54.5 83.5 -78.4 102.9 180.0
54.5 93.5 -78.4 102.9 180.0
64.5 73.5 -78.4 102.9 180.0
64.5 83.5 -78.4 102.9 180.0
64.5 93.5 -78.4 102.9 180.0
40.0 72.4 -92.5 169.0 180.0
40.0 82.4 -92.5 169.0 180.0
40.0 92.4 -92.5 169.0 180.0
50.0 72.4 -92.5 169.0 180.0
